Seed,TotalPay,BonusPay,Bonus,FreeSpins,Progressive,Category,Freq,ProgressiveBonus
0,0,0,0,0,0,0,5501400,0
10004,120,0,0,0,0,0,100,0
10006,100,0,0,0,0,0,100,0
10007,120,0,0,0,0,0,100,0
10008,20,0,0,0,0,0,100,0
10013,100,0,0,0,0,0,100,0
10016,240,0,0,0,0,0,100,0
10017,50,0,0,0,0,0,100,0
10020,60,0,0,0,0,0,100,0
10021,20,0,0,0,0,0,100,0
10022,80,0,0,0,0,0,100,0
10024,60,0,0,0,0,0,100,0
10025,50,0,0,0,0,0,100,0
10027,20,0,0,0,0,0,100,0
10029,30,0,0,0,0,0,100,0
10030,60,0,0,0,0,0,100,0
10033,40,0,0,0,0,0,100,0
10037,20,0,0,0,0,0,100,0
10041,60,0,0,0,0,0,100,0
10048,80,0,0,0,0,0,100,0
10050,80,0,0,0,0,0,100,0
10055,520,0,0,0,0,0,100,0
10056,20,0,0,0,0,0,100,0
10058,40,0,0,0,0,0,100,0
10061,40,0,0,0,0,0,100,0
10062,250,0,0,0,0,0,100,0
10064,20,0,0,0,0,0,100,0
10065,60,0,0,0,0,0,100,0
10067,420,0,0,0,0,0,100,0
10069,60,0,0,0,0,0,100,0
10073,60,0,0,0,0,0,100,0
10074,130,0,0,0,0,0,100,0
10077,60,0,0,0,0,0,100,0
10078,300,0,0,0,0,0,100,0
10080,2080,0,0,0,0,0,100,0
10089,60,0,0,0,0,0,100,0
10091,90,0,0,0,0,0,100,0
10095,30,0,0,0,0,0,100,0
10097,20,0,0,0,0,0,100,0
10100,60,0,0,0,0,0,100,0
10104,260,0,0,0,0,0,100,0
10108,240,0,0,0,0,0,100,0
10109,300,0,0,0,0,0,100,0
10110,60,0,0,0,0,0,100,0
10111,420,0,0,0,0,0,100,0
10112,220,0,0,0,0,0,100,0
10114,60,0,0,0,0,0,100,0
10120,60,0,0,0,0,0,100,0
10121,120,0,0,0,0,0,100,0
10123,20,0,0,0,0,0,100,0
10124,20,0,0,0,0,0,100,0
10125,250,0,0,0,0,0,100,0
10131,150,0,0,0,0,0,100,0
10132,40,0,0,0,0,0,100,0
10133,60,0,0,0,0,0,100,0
10135,110,0,0,0,0,0,100,0
10139,60,0,0,0,0,0,100,0
10140,60,0,0,0,0,0,100,0
10141,40,0,0,0,0,0,100,0
