GAMES_PLAYED,100000
BET_MULTIPLIER,2
plus_minus_rtp,0.013555584211595759
volatility,2.1871075923295837
scepterinfo_idx,scepterinfo_names,scepterinfo_type,values
0,fg_spins,AVERAGE_VALUE,5.0
1,coin_win,CREDIT_WIN,8.295294%
2,ways_win_bg,CREDIT_WIN,18.878824%
3,FQ_100_150,PAY_FREQUENCY,33333.333333333336
4,FQ_10_15,PAY_FREQUENCY,293.2551319648094
5,FQ_15_20,PAY_FREQUENCY,769.2307692307693
6,FQ_1_2,PAY_FREQUENCY,374.53183520599254
7,FQ_200_250,PAY_FREQUENCY,100000.0
8,FQ_20_25,PAY_FREQUENCY,1612.9032258064517
9,FQ_25_30,PAY_FREQUENCY,3571.4285714285716
10,FQ_2_3,PAY_FREQUENCY,162.86644951140065
11,FQ_30_35,PAY_FREQUENCY,5000.0
12,FQ_35_40,PAY_FREQUENCY,4545.454545454545
13,FQ_3_5,PAY_FREQUENCY,122.24938875305624
14,FQ_40_50,PAY_FREQUENCY,5882.35294117647
15,FQ_50_75,PAY_FREQUENCY,12500.0
16,FQ_5_10,PAY_FREQUENCY,77.45933384972889
17,FQ_75_100,PAY_FREQUENCY,20000.0
19,Free Games,BONUS_TRIGGER,1123.5955056179776
20,HnS,BONUS_TRIGGER,110.86474501108647
21,Hold 'n Spin,BONUS_TRIGGER,110.86474501108647
22,PD_100_150,PAY_DISTRIBUTION,0.365882%
23,PD_10_15,PAY_DISTRIBUTION,4.273529%
24,PD_15_20,PAY_DISTRIBUTION,2.301765%
25,PD_1_2,PAY_DISTRIBUTION,0.349412%
26,PD_200_250,PAY_DISTRIBUTION,0.211765%
27,PD_20_25,PAY_DISTRIBUTION,1.317647%
28,PD_25_30,PAY_DISTRIBUTION,0.775882%
29,PD_2_3,PAY_DISTRIBUTION,1.446471%
30,PD_30_35,PAY_DISTRIBUTION,0.642941%
31,PD_35_40,PAY_DISTRIBUTION,0.809412%
32,PD_3_5,PAY_DISTRIBUTION,3.528824%
33,PD_40_50,PAY_DISTRIBUTION,0.741176%
34,PD_50_75,PAY_DISTRIBUTION,0.489412%
35,PD_5_10,PAY_DISTRIBUTION,9.507059%
36,PD_75_100,PAY_DISTRIBUTION,0.412941%
37,BaseGame,STATS_CREDIT,16.661765%
38,FreeGame,STATS_CREDIT,2.217059%
39,HnS,STATS_CREDIT,8.295294%
40,any_win,HIT_RATIO,27.570995312930798
41,landed_0_scatters,HIT_RATIO,1.3589172147632766
42,landed_1_scatters,HIT_RATIO,4.062563477554336
43,landed_2_scatters,HIT_RATIO,38.49114703618168
44,landed_3_scatters,HIT_RATIO,1123.5955056179776
45,trigger_fg,HIT_RATIO,112.35955056179775
