GAMES_PLAYED,1000000
BET_MULTIPLIER,2
plus_minus_rtp,0.017100563975384987
volatility,8.72493785919489
scepterinfo_idx,scepterinfo_names,scepterinfo_type,values
0,fg_spins,AVERAGE_VALUE,5.2550109148640605
1,coin_win,CREDIT_WIN,122.587988%
2,line_win_bg,CREDIT_WIN,76.887365%
3,line_win_fg,CREDIT_WIN,4.0916%
4,FQ_0.0_0.5,PAY_FREQUENCY,7.1077751952861234
5,FQ_0.5_1,PAY_FREQUENCY,8.01686748919727
6,FQ_100_150,PAY_FREQUENCY,5181.347150259067
7,FQ_10_15,PAY_FREQUENCY,618.8118811881188
8,FQ_150_200,PAY_FREQUENCY,142857.14285714287
9,FQ_15_20,PAY_FREQUENCY,606.060606060606
10,FQ_1_2,PAY_FREQUENCY,10.328551214121195
11,FQ_200_250,PAY_FREQUENCY,1000000.0
12,FQ_20_25,PAY_FREQUENCY,233.26335432703522
13,FQ_25_30,PAY_FREQUENCY,227.01475595913735
14,FQ_2_3,PAY_FREQUENCY,30.556743873372852
15,FQ_30_35,PAY_FREQUENCY,364.4314868804665
16,FQ_35_40,PAY_FREQUENCY,353.35689045936397
17,FQ_3_5,PAY_FREQUENCY,35.12222534419781
18,FQ_40_50,PAY_FREQUENCY,159.03307888040712
19,FQ_50_75,PAY_FREQUENCY,101.44045445323594
20,FQ_5_10,PAY_FREQUENCY,76.33587786259542
21,FQ_75_100,PAY_FREQUENCY,695.8942240779402
23,any_line_win_bg,SCEPTER_INFO_ONCE,2.2410570617949075
24,PD_0.0_0.5,PAY_DISTRIBUTION,4.705082%
25,PD_0.5_1,PAY_DISTRIBUTION,9.553847%
26,PD_100_150,PAY_DISTRIBUTION,2.194247%
27,PD_10_15,PAY_DISTRIBUTION,1.980482%
28,PD_150_200,PAY_DISTRIBUTION,0.115176%
29,PD_15_20,PAY_DISTRIBUTION,2.947635%
30,PD_1_2,PAY_DISTRIBUTION,13.082153%
31,PD_200_250,PAY_DISTRIBUTION,0.021859%
32,PD_20_25,PAY_DISTRIBUTION,10.021635%
33,PD_25_30,PAY_DISTRIBUTION,12.102247%
34,PD_2_3,PAY_DISTRIBUTION,8.442212%
35,PD_30_35,PAY_DISTRIBUTION,8.985494%
36,PD_35_40,PAY_DISTRIBUTION,10.637471%
37,PD_3_5,PAY_DISTRIBUTION,11.119329%
38,PD_40_50,PAY_DISTRIBUTION,28.182059%
39,PD_50_75,PAY_DISTRIBUTION,59.017988%
40,PD_5_10,PAY_DISTRIBUTION,8.546588%
41,PD_75_100,PAY_DISTRIBUTION,11.911447%
42,line_win_bg_with_jok,STATS_CREDIT,50.051553%
43,any_line_win_fg,HIT_RATIO,41.99563245422476
44,any_win,HIT_RATIO,2.119268174314046
45,bg_tension_spin,HIT_RATIO,17.007091957346212
46,fg_spin,HIT_RATIO,18.882175226586103
47,full_grid_has,HIT_RATIO,73.30303474563847
48,line_win_single_bg,HIT_RATIO,0.5258541448875408
49,line_win_single_fg,HIT_RATIO,9.812579727210284
50,retrigger_fg,HIT_RATIO,1945.5252918287938
51,trigger_fg,HIT_RATIO,99.22603691208573
52,trigger_has_from_bg,HIT_RATIO,38.77020897142636
53,trigger_has_from_fg,HIT_RATIO,733.6757153338225
